PERSONAL;647283021;Isabelina Grijalva Palacios;2023-05-10 13:06:38;2003-01-05
PERSONAL;639222350;Hassan Berrios Macías;2023-05-10 13:07:22;1956-10-21
PERSONAL;740322634;Tobías Luna Méndez;2023-05-10 13:07:59;1993-12-02
PERSONAL;754034558;Aldous Pichardo Benavidez;2023-05-10 13:12:49;1973-09-09
PERSONAL;983450234;Pepe Navarro Rosas;2023-05-10 15:48:25;1977-04-04
PERSONAL;684931023;Pedro Pérez Sáez;2023-05-16 13:38:30;1970-03-03
PERSONAL;604339841;Hugo Martínez Pérez;2023-05-16 13:39:14;1994-10-01
PERSONAL;601330002;María Grande Peleas;2023-05-16 20:06:47;2000-10-21
PERSONAL;605337945;Máximo de la Torre Sánchez;2023-05-16 20:23:52;1970-03-30
PERSONAL;650392111;Laura Pérez Franciscano;2023-05-16 21:26:25;1989-09-28
PERSONAL;693002343;Mario Hernández Almagro;2023-05-17 08:15:11;1999-09-01
PERSONAL;675330222;Laura Sánchez Díaz;2023-05-17 08:50:30;1999-03-03
PERSONAL;690543320;Marcos Amador Alonso;2023-05-17 16:32:57;1990-02-28
PERSONAL;694993021;Julia Ceballos Prat;2023-05-17 16:34:30;1987-06-24
PERSONAL;607453200;Marcos Bustamante Lin;2023-05-17 16:35:47;1984-08-22
PERSONAL;697304556;Laura Anselmo López;2023-05-18 08:05:35;1987-02-14
PERSONAL;693200195;Lucía Casas Pineda;2023-05-18 08:06:20;1978-09-19
PERSONAL;602403924;Pedro Horonorato Otero;2023-05-18 08:11:08;1966-01-25
PERSONAL;683201456;Pepe Lunas Pérez;2023-05-20 14:14:45;2000-01-24
PERSONAL;690245631;Juan Hernández Gijón;2023-05-20 14:43:10;1973-08-10
